name,aka,builder,country,dateLabel,sortDate,dateBasis,category,concealment,summary,confidence,notes,source1_url,source1_title,source2_url,source2_title,source3_url,source3_title
Zhong Da 79 Containerized EMALS Drone Catapult,"BIT electromagnetic drone launch track, container drone catapult",Beijing Institute of Technology (BIT),China,January 2026,2026-01-07,Reported aboard Zhong Da 79 / BIT video surfaced,Modular system,Container form-factor,Electromagnetic (EMALS-style) aircraft-launch track assembled from individually transportable container-sized sections that connect into a runway for fixed-wing combat drones; installed on the Zhong Da 79 container ship in place of some missile modules.,medium,"Launch infrastructure, not a munition; may be considered part of the existing Chinese container-ship battery entry. Flag for scope.",https://www.twz.com/sea/chinese-cargo-ship-with-electromagnetic-catapult-to-launch-advanced-combat-drones-emerges,Chinese Cargo Ship Converted To Launch Combat Drones - TWZ,https://news.usni.org/2026/01/07/chinese-merchant-ship-sports-electromagnetic-drone-launcher-vertical-launching-systems,Chinese Merchant Ship Sports Electromagnetic Drone Launcher - USNI,https://www.scmp.com/news/china/military/article/3359193/could-chinas-containerised-aircraft-launcher-reshape-rules-modern-warfare,China's containerised aircraft launcher - SCMP
DAMODA Drone Swarm Container,"DAMODA drone light-show-in-a-box, container swarm launcher",DAMODA (civilian drone company),China,September 2025,2025-09-30,Product rollout,Loitering munition,Container form-factor,"A shipping container housing 12+ telescoping racks (~54 quadcopters each, ~648 drones) that rail out at the push of a button with auto-return recharge; civilian light-show product widely flagged for dual-use military swarm-launch potential.",medium,"Currently civilian; weaponization is potential, not demonstrated.",https://www.twz.com/pentagon/chinas-new-drone-light-show-in-a-box-massive-swarm-launcher-speaks-to-evolving-threats,China's Drone Light Show In A Box Swarm Launcher - TWZ,https://en.defence-ua.com/,Defense Express - DAMODA swarm launcher,,
Russian Containerized Naval Air-Defense Module Concept,containerized Redut / Pantsir-M naval module,Almaz-Antey (Redut) / KBP Tula (Pantsir-M),Russia,December 2022,2022-12-01,US Army FMSO/OE Watch analysis of Russian containerized-navy concept,Air defense / C-UAS,Modular deck launcher,"Reported Russian experimentation with placing air-defense (Redut/Pantsir-M), EW, anti-ship and reconnaissance systems into 40-ft containers for rapid fitting onto naval and commercial vessels, part of a broader containerized-navy concept alongside Club-K.",medium,"Single analytical source lineage (US Army FMSO); concept-level, not independently confirmed by Russian primary sources.",https://fmso.tradoc.army.mil/2022/russian-navy-weaponizes-shipping-containers/,Russian Navy Weaponizes Shipping Containers - FMSO,https://cimsec.org/weaponized-containers-a-warship-in-a-box-for-warfighting-advantage/,Weaponized Containers: A Warship-in-a-Box - CIMSEC,,
Joint Laser Weapon System (JLWS),"JLWS, containerized Golden Dome laser, ex-Valkyrie IFPC-HEL",US Army + US Navy joint program,United States,April 2026,2026-04-01,Revealed via FY2027 budget documents,Directed energy,Container form-factor,"Planned containerized, scalable 150kW (targeting 300-500kW) high-energy laser mounted on trucks, ships or anywhere a 20-ft container can sit, for cruise-missile defense under the Golden Dome initiative.",medium,Pre-prototype; no hardware built or demonstrated yet.,https://www.defensenews.com/newsletters/daily-news-roundup/2026/04/28/what-we-know-about-the-us-militarys-new-joint-laser-weapon-system/,What we know about the Joint Laser Weapon System - Defense News,https://www.armyrecognition.com/news/army-news/2026/u-s-army-redirects-laser-defense-to-navy-program-for-golden-dome-integration,US Army Redirects Laser Defense to Navy Program - Army Recognition,,
IAI Barak MX Naval Containerized Module,"Barak-ER container launcher, containerized Barak-ER VLS",Israel Aerospace Industries (IAI),Israel,September 2024,2024-09-15,Reported containerized Barak-ER fit for Netherlands MFSS,Naval arsenal,Modular deck launcher,Eight-cell Barak vertical-launch modules built into standard ISO containers that bolt to a vessel's aft deck to expand its magazine; selected for the Royal Netherlands Navy's Multifunction Support Ships.,medium,May overlap the existing Netherlands MSS entry; this row is the IAI launcher product specifically.,https://www.navalnews.com/naval-news/2024/09/netherlands-firms-up-plans-for-multifunction-support-vessels/,Netherlands firms up plans for multifunction support vessels - Naval News,https://www.twz.com/news-features/new-dutch-navy-support-vessels-will-be-missile-toting-wingmen-to-frigates,New Dutch Navy Support Vessels - TWZ,,
BrahMos Containerised Launcher,"container-disguised BrahMos, Club-K-style BrahMos",BrahMos Aerospace / DRDO,India,2019,2019-06-15,Concept / coastal-battery canister launcher reporting,Strike missile,Container form-factor,"Concept and battery configurations placing the BrahMos supersonic cruise missile in ISO-container-disguised launch canisters for covert coastal or merchant-vessel deployment, analogous to Club-K.",medium,"Container-disguise concept widely reported; fielded coastal BrahMos uses road-mobile TELs, so pure-ISO status is uncertain.",https://www.brahmos.com/,BrahMos Aerospace,https://www.armyrecognition.com/,BrahMos coastal coverage - Army Recognition,,
LIG Nex1 Haeseong Containerized Anti-Ship Module,"Haeseong containerized, SSM-700K coastal module",LIG Nex1,South Korea,2021,2021-06-15,Shown / coastal module concept,Artillery / coastal,Modular deck launcher,"Container-sized coastal-defence launch modules for the Haeseong (SSM-700K) anti-ship missile, packaged for transportable emplacement and deck mounting.",medium,Container-module packaging plausible; ISO form factor not firmly confirmed.,https://www.lignex1.com/eng/,LIG Nex1 products,https://www.navalnews.com/,Korean anti-ship missiles - Naval News,,
Type 12 Containerised Launcher Concept,"Type 12 SSM container launcher, JGSDF island-defence container missile",Mitsubishi Heavy Industries (MHI),Japan,2023,2023-06-15,Reported island-defence concept,Strike missile,Container form-factor,Reported Japanese concepts to deploy the upgraded Type 12 surface-to-ship missile from ISO-container-disguised launchers for dispersed island defence and shipboard use.,medium,Reported concept; fielded Type 12 uses road-mobile TELs.,https://www.mod.go.jp/en/,Japan Ministry of Defense,https://www.navalnews.com/,Type 12 upgrade - Naval News,,
MBDA Sea Venom Land-Strike Containerized Concept,"Sea Venom/ANL modular missile family, MBDA containerized coastal battery concept",MBDA,United Kingdom / France,September 2025,2025-09-09,Presented at DSEI UK 2025,Missile launcher,Container form-factor,"A conceptual land-strike variant of the Sea Venom/ANL anti-ship missile using a new launch canister and rail-launch modification, aimed at containerized launchers for a mobile coastal-battery / chokepoint-defence capability.",medium,Early concept/prototyping stage; no firm production timeline.,https://www.navalnews.com/event-news/dsei-uk-2025/2025/09/mbdas-sea-venom-evolves-family-of-weapons/,MBDA's Sea Venom evolves family of weapons - Naval News,https://euro-sd.com/2025/09/major-news/46508/mbda-outlines-new-weapons/,DSEI 2025: MBDA outlines new weapons - ESD,,
Hanwha/Leidos Global Fast Sealift,"GFS, Hanwha Ocean-Leidos Global Fast Sealift arsenal ship",Hanwha Ocean / Leidos Gibbs & Cox,South Korea / United States,April 2026,2026-04-14,Debuted at Sea-Air-Space 2026,Naval arsenal,Concealed cargo,"A dual-use 217m, 31,000-ton sealift ship concept externally resembling a civilian container/vehicle carrier (~800 containers) but able to embark containerized Mk 70 PDS VLS modules, PrSM launchers and drone-mothership packages for a wartime arsenal-ship role.",medium,Concept design only; the containerized Mk 70 modules referenced are a pre-existing US system.,https://www.navalnews.com/event-news/sea-air-space-2026/2026/04/hanwha-ocean-debuts-dual-use-vessel-for-drone-and-strike-roles/,Hanwha Ocean Debuts Dual-Use Vessel - Naval News,https://thedefensepost.com/2026/04/29/hanwha-leidos-us-shipbuilding-deal/,Hanwha Ocean and Leidos partner on US Navy ship design - The Defense Post,,
Royal Danish Navy StanFlex,"Standard Flex, StanFlex 300",Royal Danish Navy / Danish shipyards,Denmark,1989,1989-06-15,Introduced with Flyvefisken-class patrol vessels,Modular system,Modular deck launcher,"Standardised steel weapon/sensor containers (~3 x 3.5 x 2.5m) housing complete fits - 76mm gun, Harpoon, ESSM/Sea Sparrow, torpedo, mine-laying - that slot into ship deck bays and swap between vessels; the direct precursor to later ISO-container naval systems.",medium,Modules are smaller than a 20-ft ISO container; include as the historical precursor to SH Defence's Cube. Flag for scope.,https://en.wikipedia.org/wiki/StanFlex,StanFlex - Wikipedia,https://www.seaforces.org/wpnsys/SURFACE/STANFLEX-modules.htm,STANFLEX Modules - Seaforces,,
US Navy Containerized Delivery System (Liberator),"Liberator, CDS Liberator, containerized Mk 48 torpedo launcher",US Navy PEO Unmanned and Small Combatants,United States,July 2025,2025-07-15,FY2026 budget reporting,Naval arsenal,Modular deck launcher,A US Navy development effort for a containerised launcher to fire Mk 48 ADCAP heavyweight torpedoes (or similar) from unmanned surface vessels and small combatants as a modular deck payload.,medium,From ChatGPT deep-research set. Budget-disclosed program; launcher design and status not public.,https://www.navalnews.com/naval-news/2025/07/u-s-navy-pairs-heavyweight-torpedo-with-usv-in-a-new-program-effort/,US Navy Pairs Heavyweight Torpedo with USV - Naval News,https://www.secnav.navy.mil/fmc/fmb/Documents/26pres/WPN_Book.pdf,Weapons Procurement Navy Justification Book,,
